	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
NCAPH	0.011032344357143436	0.2839620682832283	-0.0319672963324979	0.28469576380093947	0.006542730426880096	0.7674892972725401	-0.007438582390814094	0.10999629772996009	-0.033926740043401245	0.014509335621518364	0.009072900646240376	0.7309917399110089	-0.04280193276720705	0.14977716965436647	-0.028820619949512835	0.003558455250800175
PCLAF	0.0683075918392681	0.4594280939151506	0.020270184482264853	0.5153481784086043	0.024374455773968334	0.8220377331767573	0.14003731548470005	0.13121278495780125	-0.20259156349336888	0.12987980156585022	-0.1545541561363657	0.07699544699889627	-0.14931621062203979	0.16352904844086663	-0.2649790703327712	0.07207458751696538
SPCS2	0.06899268427148016	0.31982899975725987	0.0225798935464289	0.36379011170290637	0.017453514077148378	0.21433827003069836	0.019882691153677485	0.339187828223736	-0.08105840486283729	0.2301615950810667	-0.034645614137785996	0.4263295165840864	-0.03659158577194905	0.0339010446525127	-0.039020762848478274	0.12045813370150181
EMC2	0.033172016414717176	0.214233330204383	0.032036330950850865	0.3078323945958737	0.019364752491797543	0.3744382159138903	-0.020250632431516476	0.12633883081949898	0.025388486402947566	0.39968533482506424	0.026524171866813794	0.31122320715714474	0.00040250134717391086	0.9825322600794575	0.040017886270488155	0.03701527906659311
WTAP	-0.01731430095959087	0.5670848968725923	0.05074368182354242	0.1620485376176693	-0.015111870352880493	0.33257194700499443	0.031307263737393745	0.26829803915966094	0.07255938575854569	0.04742405834070126	0.0045014029754125	0.89938127256248	0.01810857643757558	0.49598725778926683	-0.02831055765269854	0.06297665339021728
PSMD6	0.0545007221427953	0.11695540084543216	0.024938812269716726	0.17481214395989697	-0.015457291049282548	0.5374412951045562	0.014336921374150016	0.07226250389189054	-0.05093080700432962	0.14250799901900763	-0.021368897131250904	0.252039538775646	-0.016296474525878256	0.5095068997911051	-0.04609068694931095	0.003445139879155362
MAD2L1BP	0.08778089831566277	0.27792835697270885	-0.00992438026202694	0.9054926668999963	-0.06071368400998972	0.5862397301113224	-0.00536473537088559	0.9266930990362585	-0.0448449304965874	0.5939486781730821	0.05286034808110237	0.4803368734299694	0.048358690884487826	0.6738221826090616	-0.006990257754616484	0.8523985900879021
MORF4L2	0.14284461052809475	0.7032509156568063	-0.11081969533322628	0.5304743558373971	-0.2062336262913716	0.4650555621428446	-0.13516807899223976	0.5562330764942074	-0.24530217751802988	0.13158170712172257	0.008362128343291067	0.981693122404079	0.06529744746484163	0.710073842439777	-0.005768099834290225	0.9851989105909797
ABRAXAS2	-0.05129029024536681	0.05396906456370581	0.027985711342634494	0.4043277951955837	-0.0618051999784794	0.2288117584184293	0.005986777604567661	0.8042052756734875	0.04716714179331542	0.1768015067002012	-0.03210885979468591	0.22729603742615842	0.04658345089421091	0.13586986040458535	-0.021208526688836254	0.6263207523035135
SEPTIN2	0.005494749890232407	0.5493465201984264	0.00022973686282595846	0.9854002592715259	-0.009328238340637885	0.6463158037653192	-0.014398150826927858	0.025677133289605344	0.005019843526174344	0.6868611280757644	0.010284856553581223	0.30747437326691823	-0.000139873998067385	0.9943564048790571	0.004930038488222665	0.05050334210680751
SART3	0.023736854271623902	0.18773169474985	0.01982183068037803	0.020290996797081833	0.015186050613730174	0.2764007657028129	-0.004477663466346328	0.4244238487109082	-0.014453127027715921	0.3650061815990687	-0.010538103436469826	0.10636938561408682	-0.015641879464180213	0.26554588731535383	0.004021834615896438	0.3999957277176286
NCAPD2	0.025854629645448927	0.2916130947857945	0.030259063597968868	0.165513825306682	-0.035501597168960224	0.2689985137396701	-0.030591954160102006	0.19814394887481546	-0.08361439634287135	0.02397775750948481	-0.08801883029539154	0.009893002483760507	-0.09954739137412788	0.0211413716978037	-0.10445703438298619	0.011707331102721139
SUZ12	-0.005516703844860799	0.9020246467545403	-0.07307423540458402	0.11351097657797384	0.06649287786718067	0.12858818211243184	0.004608312986646483	0.634596655660298	-0.04294789867969684	0.17874511605693363	0.024609632880026412	0.6227581185944369	-0.03360065255587305	0.3561419204974633	0.028283912324660966	0.09177259275684753
EXOSC7	0.019331082980777025	0.5925846617195535	0.02353942391314374	0.237070296200363	0.013356318713339846	0.4234613704501399	0.004835210733957548	0.6807319440783167	-0.04097622974982304	0.07432210320296832	-0.045184570682189756	0.2546146523708336	-0.013681403810888993	0.4153735295830503	-0.005160295831506481	0.6578939992302915
TNIP1	-0.037678707087082694	0.11386568107434844	-0.042241036771478495	0.29476619832929574	-0.02081167351210352	0.3890802916570614	-0.03764642238113672	0.37304062565808577	0.02120293585059919	0.3049171409462923	0.025765265534995016	0.48541271183489715	0.007762479749214681	0.7224995567196304	0.02459722861824795	0.5465324540255259
EFTUD2	0.024201441444273844	0.043223102969914155	0.022776882126606064	0.28640523031231097	-0.021744676105416593	0.28854915396202596	-0.0038109915726141828	0.7388980664189599	-0.0007224444446283364	0.9681892861298362	0.0007021148730392245	0.9534870401812846	0.007985134216596414	0.6673658429647553	-0.009948550316205843	0.33543606565007444
LARS2	0.0590120446417063	0.19332940820379466	0.001958790235490806	0.9629378297638168	0.049926661120235895	0.1111754887670469	0.018807444264991372	0.7297197230576513	0.004499987122872862	0.883243029908096	0.06155324152908817	0.230442867447224	-0.002395709305782098	0.9646956136634224	0.028723507549462273	0.3025491137001086
R3HDM1	-0.047647595042715	0.49804087976718175	0.020818546344162307	0.6266359592379569	0.048070494223701826	0.41572619409338846	-0.02496550278104632	0.1785787900673934	-0.08986487858073866	0.16831045221722257	-0.15833101996761598	0.055021198485719076	-0.1540066034931662	0.054556748811310174	-0.08097060648841811	0.12264775763774953
