	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
AMP	-0.384151395	0.356828209	-0.772356299	0.090484808	-0.023368267	0.961828235	2.14784938	0.004708924	-0.353683753	0.32901182	0.03452115	0.934656182	1.407915307	0.030184955	-0.763302339	0.11819086
L-Arginine	-0.57332292	0.076636488	-0.375001009	0.210134785	-0.153015471	0.664056414	-0.342382659	0.176813597	-2.124662643	0.006765177	-2.322984555	0.036824264	-2.115004225	0.003579415	-1.925637037	0.024026516
L-Asparagine	0.878945081	0.002027169	-2.40274822	0.006648476	0.994781965	0.000231952	-1.550122404	0.000200239	2.460327051	0.008677415	5.742020352	0.000808622	2.105011945	0.004873739	4.649916314	0.000582236
L-Aspartic acid	0.616602811	0.001726921	-0.216898339	0.280179679	0.755257621	0.003871496	-0.445559237	0.17824835	2.422600866	0.000907635	3.256102015	0.000191859	2.022033933	0.000787094	3.22285079	4.62E-07
Adenosine triphosphate	-0.248290681	0.540643009	0.095452738	0.680602635	-0.970167233	0.002049487	-3.176481072	0.007706501	1.103100423	0.092398631	0.759357004	0.1285698	-1.252634934	0.014143792	0.953678904	0.033531194
Cytidine	0.396214675	0.001591299	0.990744023	0.008088755	1.105308229	0.001116905	0.79580252	0.000565893	-0.045232734	0.300572699	-0.639762082	0.009787367	-0.179784296	0.252824365	0.129721413	0.064261912
Carbamoyl aspartic acid	1.007269681	0.001950075	1.577220566	0.000731088	0.972303934	0.125738181	0.756781887	0.080299794	0.203937022	0.433760154	-0.366013863	0.014391401	-0.306295817	0.232801899	-0.09077377	0.804334073
L-Carnitine	0.460236987	0.001877509	0.381093812	0.164059294	0.556231507	0.001153309	1.092284308	0.001735883	4.859212401	5.80E-05	4.938355576	0.000276494	3.797160361	0.000180395	3.26110756	0.00040839
Choline	0.660105864	0.000492745	1.091986912	0.005786159	0.76669444	0.000443546	1.066932565	7.15E-05	0.193798549	0.016143933	-0.238082499	0.051350512	0.369985569	0.008618343	0.069747444	0.084495254
Citrulline	0.606495165	0.304091599	-0.104026293	0.435830074	0.502274063	0.237139396	0.565651247	0.070594619	5.820445279	0.001305164	6.530966736	0.008097164	4.608355616	0.000872398	4.544978431	0.007253795
