	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
TRMT1L	0.0484006413808309	0.034911602473476	0.0661545778012913	0.0447550097652038	-0.0036488729370449	0.8969742696219037	-0.0216595624139391	0.6119539550127175	-0.0057850398155612	0.8010576101511566	-0.0235389762360217	0.2553699387237036	0.0080472938980087	0.7691278073931729	0.0260579833749032	0.5503386644766868
ZC3HAV1	0.0128612276665651	0.4735429920456447	0.0036884279178504	0.8278351820100316	0.008757346640192	0.5264610177128514	-0.0007534208958762	0.9566348855234502	-0.0203131875099443	0.2974755473407474	-0.0111403877612298	0.531487194873042	-0.0196651492210348	0.2460113643988266	-0.0101543816849667	0.4058585547246938
EFL1	0.0491376718547542	0.1502927998205164	0.0243106048029362	0.2966064123104012	-0.0076991952995978	0.8652767570038681	-0.0002185734118691	0.9953972740180717	0.0126016110071065	0.6365970181339979	0.0374286780589246	0.205126217100141	0.0023302029446248	0.9653688094460962	-0.0051504189431039	0.7891593829402629
DGLUCY	0.0752372460695894	0.2340132644026593	0.0553424579866614	0.5402844345076439	0.043976519044302	0.3507492461577923	-0.0735554718543975	0.2558986414896752	0.0259688665118753	0.7845712279224274	0.0458636545948034	0.2818307396281761	0.0112260037636344	0.7927372638824061	0.1287579946623339	0.1062411999025926
CCDC186	0.0777101021892982	0.192355671950497	0.2131757490500665	0.1258972134663722	-0.0071643021692393	0.9346359797358204	0.0520078786057207	0.5977946075758652	0.202937627762243	0.1420460642937948	0.0674719809014743	0.2666578903372933	0.0589099162923873	0.5865429599459571	-0.0002622644825728	0.997161718366902
ARMC9	-0.00257289280873	0.967991689275156	0.0221698165397901	0.1250513204758845	-0.055952239227673	0.2296638624604093	0.0033375930730503	0.8890799796169092	0.0539893347784163	0.4416071481727835	0.029246625429896	0.1911516225715558	0.0320125227272654	0.2709154375208777	-0.0272773095734579	0.5037634772960229
VPS35L	0.1222598979715077	0.1058256208937727	0.1433687478100733	0.1408848786760953	0.1736730249064448	0.2878129457888743	-0.0327733020008579	0.2435497118854718	-0.1030221463521157	0.2826774745925241	-0.1241309961906813	0.0538390428419152	-0.3016843413198996	0.1174001456428334	-0.095238014412597	0.0125005769692425
POGZ	0.0262460713636369	0.1852785692220843	0.013399867419313	0.7160141009994149	0.0060945067757397	0.8273588628607094	-0.0001975293660398	0.9871053507311932	0.0069259915027116	0.8252753388548393	0.0197721954470356	0.4819779166374748	-0.0182743594866539	0.5425230004531658	-0.0119823233448744	0.165328007867635
MON2	0.0825007527698735	0.671199411285067	0.1571247262176542	0.0783212919955558	0.0779940742095978	0.6088239645020006	0.0653940614822167	0.6738137250595134	-0.2639704817538971	0.1723619924494604	-0.3385944552016781	0.059496455306947	-0.3572823016894484	0.018686481803356	-0.3446822889620671	0.1260676789216886
PIWIL4	0.0086284304735779	0.8395663513127674	0.0120307030532656	0.2680572708648541	-0.004291154999722	0.7993337160049316	-0.0245998142466374	0.0665254328643547	0.0165742136402155	0.3767321868422611	0.0131719410605276	0.7507477043610653	0.0265773171674596	0.2098950621035494	0.0468859764143749	0.017881075669911
NUFIP2	-0.0340675689018353	0.1229678823240492	-0.0124623200237249	0.4173714865952695	0.0247944642754231	0.1945509912762014	0.0109082682397809	0.4611737718586835	-0.0015095660564592	0.87770515543957	-0.0231148149345695	0.2850824534506405	-0.016113492902721	0.3766435270168399	-0.0022272968670787	0.8692196623640529
SZRD1	0.0134189575190499	0.7974623836437925	-0.0359691826350707	0.3059226924791464	0.0593489236406793	0.3214275505347619	-0.0110162475428962	0.2878702389399905	-0.0474963915220684	0.4062785505826508	0.0018917486320524	0.9489319933917276	-0.0861303886380553	0.1939260191171351	-0.0157652174544797	0.2120917945626152
MAVS	0.0264561327680191	0.2308240952331176	0.0540053677028226	0.0646557102390933	0.010959892844051	0.6157408121449248	-0.0098156754223739	0.6220231746976663	0.0479696964916359	0.0615234096388669	0.0204204615568328	0.315155332190643	0.0123651123307817	0.6105460044426572	0.0331406805972068	0.0947822076498759
DHX29	0.1671332673139506	0.0038544276058247	0.0980423815198223	0.2113687477486778	-0.0013801384648603	0.9707952019920836	-0.0321656369750607	0.2547263664842411	-0.0910750348365437	0.2519058603698255	-0.0219841490424155	0.1735923566574483	-0.1011904042722783	0.0688076983583518	-0.070404905762078	0.0643609541226149
HDDC2	0.001222532118581	0.8072931385823838	0.0078667682492145	0.6332571062979426	0.0031208112760425	0.8983376951001077	-0.0055427959518283	0.6094882652010227	0.0267953685013952	0.1017994007870982	0.0201511323707615	0.2221760184232701	0.011975648660602	0.5243754355985415	0.020639255888473	0.3615157729173102
HEATR3	0.0707774852243221	0.083447075636062	0.0335797919667619	0.1121650780807605	-0.0201845855404206	0.4899373452935817	-0.0259786142845822	0.2150692063718233	-0.0796432078459218	0.063118985004157	-0.0424455145883615	0.0973887036462867	-0.0429684565730883	0.1831356603503174	-0.0371744278289268	0.1181394733215654
EMSY	0.0551351982511571	0.0743509469442969	0.0005945292594635	0.9873201982500576	0.0528297351779546	0.3623036331687788	0.0582746816502466	0.2976534479176809	-0.0004321261178123	0.9881113678775876	0.0541085428738811	0.1826471420519875	-0.0154610182011868	0.7452657039496441	-0.020905964673479	0.6917444478327683
WAPL	0.0525597528477685	0.0783221501027131	0.0122740020666474	0.7513379252072988	-0.0299431358201242	0.4883493778539284	-0.0244400810925817	0.4025824809529306	-0.0111306253990118	0.7715432771626003	0.0291551253821095	0.2802076116054007	-0.0138942194392603	0.7443640416973993	-0.0193972741668027	0.4545611355305815
