"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"HG-HPLM-400_FC2",-3.72867290714698,-0.49025217845073,-3.8186967425938,-2.21911024613236,-3.57363858361103,-1.03392588194623,-1.48415887758102,2.06811711345554,-1.11450374645603,0.419683670510278,1.09051581894411,0.166541831405247,0.183248176813253,-0.0550182558127203,-0.25393123454891,-0.448642144898959,-0.0998773152789536,0.824183070656729,0.208841219415508,0.318053914875162,0.603313041227133,-0.379949941300647,1.3623161921776,0.212175650088015,-0.924188580322223,0.166170023697213,0.20611343647892,0.30499140451359,0.367167176080222,-0.43124037307134,0.203523612875795,-0.159414968226549,0.0675846378930459,0.174228514032129,-0.289620876645112,2.23779328401008e-15
"HG-HPLM-400_FC3",-4.49578465758841,-0.700366852399314,-2.95283524903673,-3.28669311293764,-4.15367196490457,-1.25851163125354,-0.586648003023537,-0.468318769257445,1.02707522531615,0.0830002445275928,1.10378595902139,-0.516567638947836,-0.0410697804434645,0.334508949864054,-0.328999601416477,0.11099275442473,1.45187802673665,-0.651193099383664,-0.312482164758023,-0.65847398541079,-0.216307177979437,-0.140453338365963,0.173670070760188,0.555126018868725,0.434397228037312,-0.296850419731909,-0.139634599492365,-0.002680985355358,-0.214394505302386,-0.165601097684185,-0.492814485581867,-0.0194843502334893,-0.0904058437412155,-0.129441094865887,0.496171453046475,2.55004350968591e-15
"HG-HPLM-6k_FC1",-3.46952175199772,3.49446815140419,-0.592983208429569,2.53115531677016,-1.43005594693327,-0.0897418529874223,0.740584462806163,0.436694721418049,-0.696926419817421,-0.159571777512957,-0.276709353199366,-0.707765157799069,1.01996360084045,0.208963928524782,0.0192129132533771,0.0205314611432199,-1.15282371152278,-0.211729490505177,-0.253573410525031,-0.511310198968399,-0.527668790179142,1.20490938033115,-0.442041569500925,0.221885843592091,-0.353751994210388,0.289668431504313,0.610363766690464,0.317528293707793,0.902038623021364,0.412263331368965,-0.629301491601436,-0.183945542894674,0.399038956293996,-0.366584417866526,0.0233338359386999,2.30718222304915e-15
"HG-HPLM-6k_FC2",-3.82567452019979,3.34233846003306,0.272338965733236,2.89417975222315,-1.26616354712764,-0.0525122472232067,-0.213069522267875,-0.775817592809619,0.818088628040371,0.787892660779154,-1.16731827254161,-0.805648092228671,0.404348229912379,0.540769736985819,1.32238234766583,-0.455070949677554,-0.11349984425682,-1.05815360434405,0.236169407058621,0.0214947163037883,-1.01007657989882,0.363448166729786,-0.302966936880696,0.954530902828823,-0.808205028502346,0.513726996206742,-0.882813816069315,-0.387305998170584,-0.25592819125763,-0.519522222148736,0.35308321293615,-0.318599162634211,-0.373485841881442,0.060519982982675,-0.091723022917787,2.47371567674293e-15
"HG-HPLM-6k_FC3",-3.82011966743984,4.90191495913119,-0.443411273636301,3.66096405927232,0.016252616596976,-1.62072655690842,0.951174218831123,-0.285786317463516,2.12916576885085,-3.31779416811267,2.45444215089792,-0.557393781187601,-0.637650821238254,0.245170767224986,1.08442331317806,-0.943418979480564,0.154166346870961,0.966710532404942,0.253688104071923,1.26980707702947,0.0811641660141229,-0.043556997421458,0.185347506247022,-0.335710421385584,0.120890551165638,0.0982707139573376,0.00854040272997979,0.101067257519659,-0.00777845496956773,0.159964438940929,0.053015446284251,0.318238849305288,-0.0141608656311057,0.0741305616560571,0.0742688247615557,2.04003480774873e-15
"HG-HPLM-60k_FC1",-3.20188026692883,3.74470767027594,-0.406114574546823,2.41404533833374,-2.03796005577985,1.4967130647017,-1.00163127187137,0.440123652111876,-2.03942136492532,-0.111439608921923,-1.08599637175027,0.508225559234736,0.111944366199553,-1.1797050362843,0.229633129603102,0.628018500613075,0.618238369027632,0.664670350455885,1.35115775830077,-0.753081910698903,0.40610610212984,-0.702690111008294,-0.486871830984137,-0.542446039460773,-0.366238917461772,-0.456900407625642,-0.695800273208071,-0.0429869002022251,0.287482615936287,0.609798305275665,0.0628160291029165,0.435904626979267,-0.373402630580481,-0.0101554427158704,0.124187575109348,2.19615992058664e-15
"HG-HPLM-60k_FC2",-3.07437820445924,4.10043881129341,-0.203042454611089,2.56240033341083,-0.836695256605428,1.91594730371747,0.246977064434498,-0.949976987548915,-0.787388718496959,3.17513053201385,0.119916569385694,-0.482558571262595,-0.962084242536812,-0.438390760452687,-0.0870191581817104,0.652201207005216,-0.907038628541338,0.686956470726242,-0.567343857201572,0.667788206023849,-0.378243209504027,0.601569415457522,0.385852992873016,-0.181376730314609,0.778830194330612,-0.758726448044361,-0.0927011533521618,0.341202009417232,-0.143050972780796,-0.626825531195894,-0.0151901719861121,0.308109994502966,0.281242055742137,0.318087463716196,0.0889311387038865,2.27595720048157e-15
"HG-HPLM-60k_FC3",-3.50140646867456,4.51334082711582,-0.127110784429836,2.78121787665722,-1.39131069719488,0.953412405753403,0.864145528294323,0.684810088218027,0.391847142259098,0.101225606645422,-1.01227480052276,-0.477403996853581,-0.401613955777468,0.937739823727483,-1.63781013595687,-0.175569832701899,0.517709293948275,0.0517844606989186,-0.759326739405896,-0.453071193196243,1.36298541778964,0.0176245919441285,-0.084165670044879,-0.781775955724167,0.0847411335559937,0.140056733010975,0.812275088344805,-0.872931032550044,-0.594620893541257,-0.114198476428497,-0.167351595934413,-0.272848648377351,-0.27292949571072,-0.0578932126671081,-0.144135699953568,2.26554885962571e-15
"400_FC1",3.11182678771029,-5.19870723239556,-0.610678197939173,0.829410047434388,2.1057017242139,-0.425323689264255,0.712135753242973,1.32777730042921,0.784987968222838,0.022205080705672,1.75733519752015,-2.91966376919583,-0.244504699233409,0.0336436078640757,-0.893359046603206,0.742776367162178,-0.507099271612896,-0.106490323073524,1.13380448647597,-1.04038377028476,0.354759951959331,0.676321539427959,-0.442188446175571,0.430381460306697,-0.464823401597602,-0.843723453372815,0.0567777125518086,0.0793528334434521,-0.210745137571151,0.164638454356894,0.139334154153223,-0.070018076235506,-0.0640630820540152,0.318338171698571,-0.0216346235179839,2.61249355482107e-15
"400_FC2",2.26386786947151,-5.30405211605107,0.76449882665047,-0.227128479389262,-0.574128236504949,2.39129056831933,-0.448567945458411,1.01945302943721,0.0548601630001442,0.424382191339385,2.24872906492245,0.536962699065087,0.856824791507502,1.06142691087454,0.438757011030511,2.08514714406214,-0.405759245244306,1.12300254958758,0.223403896469431,0.430133599653907,-0.45578645962865,-0.151783613254136,-0.916918727264581,-0.535154251171357,0.0698286121452798,1.07027786916918,0.0131573245639969,-0.218994499274622,-0.0483875882405605,-0.436652827369877,-0.174715469299768,0.0168572407530101,-0.246373113660863,-0.141840631665904,0.0496233154141691,3.05658276467113e-15
