"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"HG-HPLM-400_Exp2",-7.35100819742142,-7.69640695718419,-3.24536319310673,-2.90298231597786,-1.97568973142399,2.30620239200424,-1.46346241999906,-0.656053986805425,-1.67579055163922,0.719929400645368,-0.564122113686378,0.82328318136117,1.12398917719457,0.823468458045887,-0.840463167606763,0.775636615787654,0.00558102387284987,-0.905134303047885,0.147393733666722,0.112268148591128,0.469997560709637,-1.04551614081181,-0.607440799771577,-0.524866593521688,-0.731972976713726,-0.105897275598928,0.144358302179969,-0.37383180472316,-0.039894527997807,-0.0752239697281263,0.140405802120426,0.0250122676049359,-0.0360480525249895,0.125887353361959,0.236448181818589,-2.76514922070703e-15
"HG-HPLM-400_Exp3",-7.03652320179406,-6.98663638195428,-3.02757301940188,-3.50035646499665,-0.758928115940758,1.60674217914372,-0.575268869951707,0.954953277912174,0.0633272412725912,2.0253395806841,0.983493554956698,-1.24032676971565,-0.383755093565195,-0.833687098982086,-0.335538273654036,0.716596301315181,-0.714254297977205,0.882712452119764,-1.22369303148321,-0.321241235354285,0.223232275505428,0.590913316576432,-0.471453591129874,-0.108003967736191,0.692455133918943,-0.0312620893914003,0.0718246151860108,0.305547149367973,0.290365421680184,-0.0314474072802378,-0.182864740834001,0.0989608819528955,-0.122664340130228,0.18018798274794,-0.330146361973264,-5.85816117837368e-15
"HG-HPLM-6k_Exp1",-6.83455075527808,1.47219599544919,0.469624706708725,-0.203740787910695,-2.50130776531524,-2.06826344257164,2.03867551274898,1.78360181185661,0.779879389071671,-0.333226214786148,-0.668000961459857,0.824806765301266,0.204491600750796,-0.400540341469062,0.191358406694923,-0.821147657844101,-0.148289871776548,-0.347219007129988,0.95723639242728,0.191174132131658,0.523319799938515,-0.209803399429181,-0.0141737106948054,0.670626709693143,0.058986055898912,-0.372801724874698,-0.19335222440525,-0.135816848985463,-0.011169377272149,-0.435289488452032,0.184066879570601,0.374954564081224,-0.304383127555359,0.523568789742897,-0.239425433578523,-1.01394587170844e-15
"HG-HPLM-6k_Exp2",-6.7604758526411,0.96493721391644,2.28027755883487,-0.635193523343171,-4.40330748937238,0.831501475488662,1.01320459546541,0.729717146974109,0.815878859709008,0.340954540392372,-1.74866810550192,-0.957514877965712,-0.517356010916921,0.51711551394712,-0.580409191114699,0.405253783706564,0.933021155695288,0.47686068161773,0.967245236856125,-1.57630493817386,0.345310634928011,0.616915797539046,0.434017054780394,-0.290180018319794,-0.167209536045238,-0.0707837832769143,-0.0310120527714306,0.359563008539161,-0.307199929846582,0.360450929057478,-0.277835188462538,-0.147909328594475,0.0787885789041223,0.049849428172524,0.195305466492067,-1.14491749414469e-15
"HG-HPLM-6k_Exp3",-7.41869228757892,1.21958913199931,0.345573771301421,-0.567468676344581,-2.56058447049536,-2.10697271167068,1.23482902354956,2.5916989231432,2.36876756262357,0.389444822399575,-1.5606484584956,0.321720574955638,0.214238139972648,0.183849973740294,-0.00425545388699771,-0.66299371421307,-0.0052741337202778,-0.593900659671658,-1.46745893035237,0.462268519279326,-0.7883533340493,-0.155992828437104,-0.777076148981788,-0.130663620154322,-0.119292227948768,0.286691210832164,0.133613199960012,0.0482815106315993,0.148405463830231,-0.0695437047183698,0.108827142453439,-0.0715948313365339,0.145061412194333,-0.429855203473119,0.114216147532567,-9.81853487402873e-16
"HG-HPLM-60k_Exp1",-6.21625461458647,3.67748541651427,-0.267938031365039,0.98898373491195,-2.52018756429878,-0.336177530566134,-0.600283292275216,-1.57162218629093,-1.34967109294698,0.13501355466712,-0.515253281011509,0.277560907707808,0.0122712529103925,-1.1858981846673,1.36291354740876,0.605607077547342,-1.24437383689066,-0.248095718064624,0.998231331169245,0.395816410979801,-1.34251373100089,0.609264680066773,-0.113457275437379,-0.448777280469368,0.319406387345771,-0.736593543283708,0.144402117650841,0.247813088114311,0.450606211991118,0.123802763749916,0.245423193385032,-0.0985204976079942,-0.0245487954328208,-0.028712644895022,0.12356742908253,-1.18916649530926e-16
"HG-HPLM-60k_Exp2",-5.68184885284835,3.63673111517772,-0.0193439103407585,0.595225456013286,-3.88890804899068,1.77965959640631,-0.177835927555122,-1.69111943495713,-1.43451342062159,-2.01738010492653,0.970011443610932,-0.541138008309404,0.243695921005991,-0.433783561686119,1.9609183642656,-0.428954755854947,0.744793524604438,-0.453325474322733,-1.05222510220776,-0.978976044012712,0.191824200597208,-0.756110187966663,0.136548218897274,0.39968520159174,0.597803747367278,0.421458103526481,-0.181563121704755,0.0406844801585038,-0.177887500318671,-0.0528114294134797,0.172610140066044,0.0724703267024669,0.171870139125322,-0.0647987692816671,-0.103277982587848,1.13624387676481e-16
"HG-HPLM-60k_Exp3",-5.92004503230079,3.7365350661004,-1.23975573089326,1.55403445046457,-1.00289401784094,-3.24827751961643,0.560674412419882,-1.44473823104581,1.30778936234834,0.633981230683994,2.11382886323826,0.451252245612912,0.338526744528214,-0.965288053850427,0.887000628533756,0.842851456136859,1.00319200754891,0.750325103935624,0.181290768184838,0.358376103037269,0.782090352860793,0.104841571605761,-0.507441515280199,-0.45357235461759,-0.41558969024422,-0.0522466899883125,-0.133719639825183,-0.813295768692817,0.227279349567222,0.141393330948886,-0.38603049092202,-0.0738689046622974,0.06114681485805,-0.0642513082014094,0.00424530940007374,-2.03613167992778e-16
"400_Exp1",9.32241015398242,-6.90996190384607,1.29444462535935,3.30617551351343,0.704170844180085,-0.652359901022496,-1.83498241434985,2.00547692781992,0.304481911488248,0.460075035296632,-0.263670078924189,-1.10474556504503,0.995297985836392,0.0490218159905216,1.22109609454912,0.46965031241338,0.262569710695565,-0.144678224376737,0.0766052979177182,-0.311842718212617,0.360512791684052,-0.201239505184814,-0.0521726923010249,0.15247434948565,-0.14302369746293,-0.0622157695999485,-0.613800978234421,0.161514897633081,0.281285624535273,-0.169665624157989,0.234238220797294,-0.818185644379348,-0.205194497033819,0.0891281853190039,-0.0329095932583649,6.72205346941013e-16
"400_Exp2",9.42572282394316,-6.0726021706358,1.37533069968465,1.55289205006838,0.232847569778417,2.17291227782898,-0.941354932454691,-0.195540406302882,1.50796367613333,-0.349300878904441,-0.514116740158504,0.716671997691816,0.523667676877331,-2.06938757836273,-0.180511059528775,-0.19601879496259,-0.434946548219466,0.347498808950799,0.1667378967991,-0.179011920694503,-0.627144846907845,-0.911035583371263,-0.340012229514179,0.584414234280077,-0.298647999741659,-0.497643035041046,-0.416525216520675,0.209607063960639,-0.207447027664058,0.0479561533572015,-0.594284978570369,0.271814845034121,0.279666825366432,-0.0467334536623882,0.027347747801292,1.19956128363796e-15
