"","Name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"Arg-Succ","Arg-Succ",-0.121266803522171,0.100722414289995,-0.0729197984480262,-0.0127905668883614,0.0378234827159617,-0.190069074779889,0.169780285837605,-0.0293416344923961,0.0139142152544546,0.0165617738817702,-0.267239623491899,-0.00998231933634064,0.164326171255105,0.0160559480130953,-0.136848938988276,0.150517375686925,0.0929418759246404,0.322728880969758,-0.0625828979345086,-0.0261832383872105,-0.203924961066474,-0.190852810480493,0.263813545806147,0.113763352279127,0.0653072825569979,0.0705118240779959,-0.0937599355427395,0.0460366091080809,0.117959886072373,-0.0881957207259024,0.0388862542565851,0.160931256055961,-0.0537161192642889,-0.0167839245617959,0.0944416688597886,-0.0587056394940404
"Asn","Asn",0.156911644727285,-0.0510211823208985,0.0248744042555064,0.107587607460573,0.0586960350301903,0.0532977863706918,-0.00912777848607156,-0.0463685152700437,-0.0371787967329548,0.0700338609988807,0.0591301433611386,0.0130158381031485,0.015045036834808,-0.149604754640954,-0.13183108602166,0.125992946313102,-0.0141708880444314,-0.05473867080845,-0.200682173797674,-0.00517641863846058,0.269323032576909,0.33136929220602,0.0966047102657911,-0.0369381712482768,-0.194345422181364,0.249819476773235,-0.00294689771948305,0.101381001655958,0.419065421501308,-0.182898977435087,-0.0302758796716403,0.0201114572552062,-0.20356725777552,-0.0807828444038013,-0.103673501892142,0.0375293139953709
"Asp","Asp",0.0592766222556731,0.137200541966654,0.00335191742931339,-0.0222422928841791,0.0761862285401875,-0.217200835458806,0.217785329867462,0.0143664325256042,-0.278515276205331,-0.174309790873577,0.17448484198738,-0.138932090242296,0.0356433394139263,0.29670293115304,-0.0255682848508608,0.0942526165829256,-0.233497392778372,0.0265019605309137,-0.0317825202849687,-0.444055000394246,0.0387538017229027,-0.00939444485270906,-0.11417663730945,0.137218381991906,-0.148586405539727,-0.0666921524461871,0.0396576532866564,0.0718364263868928,0.0150639915471258,0.181829109692169,-0.161963543419246,0.107378589002655,0.00671697586114397,-0.180518479447842,0.00344378690257186,0.00397592647359847
"ATP","ATP",0.0371689653497157,0.258879458475465,0.0457190290553026,-0.068809142488841,0.0209050765778348,0.134993839654034,-0.0209125322407712,-0.0246242919072762,0.0335331247640137,0.00120436293797427,0.0432552555627028,-0.0642886559117839,0.129359764629082,-0.0446831614838085,-0.0448926590505766,0.0754921959141593,0.0466946915256737,0.00662732967674787,-0.0381980356183454,-0.0515281366371396,0.141388477491066,-0.0495244406956636,0.00701483441749088,-0.0398318163554064,0.0223305870169705,-0.140313346253169,-0.0207861809025393,-0.0987094960184867,0.0402918220462352,0.128275162361837,-0.294935545493017,-0.104522490283602,0.0361867923696619,-0.0174327875010698,-0.0529785125760408,-0.0629760541789704
"Carbamoyl-Asp","Carbamoyl-Asp",-0.132187231750323,-0.0961143863194658,-0.167586922577674,0.164632611988681,0.059069240036212,0.0688996579837032,-0.0347218510410722,-0.0244304372992605,0.0246422062891005,0.0516959884246669,-0.0194039904384014,-0.105789534340609,0.0703188329367199,0.0897585874576279,-0.0253822757908826,0.07277377661586,-0.00845459283994889,0.00438624547682846,-0.025865559967733,0.13833919654489,0.0461637745303442,-0.146775555610436,0.122463779451621,0.150126080538428,0.0741009325123353,-0.0746517783633821,0.00913176859969174,-0.141809804973507,0.165557974345732,0.320954396674221,-0.0486116300069088,-0.0664003543076997,-0.176449322472466,0.0441595513208295,0.195417894632303,0.149524831539406
"Carnitine","Carnitine",0.151679847872598,-0.101243557899731,0.134448387018092,0.0275721934939499,-0.0658260910194801,0.0378209984743944,0.0429978863163139,0.1110751701031,-0.00507113982085119,0.0145536567314881,0.0505326298727394,0.11661751114501,0.120746334356531,0.0262272148192362,-0.00511645951121935,-0.0810692445978045,0.0781929467346001,0.0100559747092965,-0.213623391764335,0.132832043489118,-0.0968016582746134,-0.0634510919545731,-0.130855566560016,0.0384499684684363,0.0948756233963222,-0.0236654926301316,-0.0593221213941214,0.0469389254792478,0.0306555943033897,0.00999732810727922,-0.0772893747834634,-0.0247193300525986,-0.0965822740687095,0.131591877643917,-0.023500884020111,-0.0818215728456965
"CDP-EtA","CDP-EtA",0.0606765384828678,-0.0971895077417936,0.118099184463145,-0.130937164488866,-0.278587468552272,0.0391590924902904,0.0569414978911988,-0.162703401657781,0.212056921157728,-0.166141660509191,-0.041621382920338,0.201604354093582,-0.204905938143811,0.0301334309401677,-0.00613388039024373,0.250059490779944,-0.0860419181895302,-0.0425759747491914,-0.059114252010759,-0.181130085707198,-0.206244819396013,0.0851961934657525,0.0913296973976549,-0.201025616900268,0.146766987360148,0.145481503946521,-0.097720941972755,0.128975250186621,-0.0863175796816109,0.00610637755685333,-0.24693633059779,0.0392918351857953,-0.140161461783197,-0.00821831682581685,0.203926309093548,0.0603031261422669
"Cit","Cit",0.17787897882194,-0.0719947863295283,0.0871201535306406,0.00900689973891196,0.0147318873516664,-0.00340322109056568,0.025103991550597,0.0599404094001856,0.0142276216254268,0.00441423105338605,0.00791030394575304,-0.0400411844295228,0.0395094928899828,0.00855661785133623,0.0547547213579287,0.0119270884623363,0.0340363609950831,0.0100520983010184,-0.0165619803486754,-0.00575588435246279,-0.0347527658049593,-0.0193867618018821,0.048734981514158,-0.031145132095894,0.0258677877416333,-0.0559448725584806,0.0176038613086754,-0.0621170291004291,-0.0200297956487921,0.0372267984105452,-0.00879900011546093,0.0172698303053166,-0.0168204353181346,-0.0165268293458555,0.0294466537926195,-0.0259581512777594
"Citrulline","Citrulline",0.0800128403393288,-0.195015128989155,0.132383710562443,0.107976661849409,-0.0890782390836827,0.00351620228053625,-0.135306155779341,-0.0145637271143562,0.0645397156984236,0.0204393747721334,0.0865725404896032,-0.111758910758533,-0.095251013524856,0.172096920268447,-0.0726710503203728,0.142958063328887,-0.026001993264874,0.104297024958217,0.129588173470372,0.141851180827248,0.0743009174634626,-0.0503983005808752,-0.131260118386019,0.0564947210398426,-0.175845036705084,-0.178341195860178,0.120339611188187,-0.127117071822893,0.206061690584379,0.00455261987401688,0.015763241927355,-0.0600524774770016,0.115652429507166,0.0100842255179278,-0.180450426219681,-0.0972728807782386
"Creatinine","Creatinine",-0.0851487278293627,0.0878638161680507,-0.0346076253689434,-0.14502886972266,-0.00923177367780562,0.277060034951341,-0.102842347266191,0.070845085114134,0.0292691590007249,0.289828657758495,0.221466054276,-0.175927719378518,0.178999364155148,0.0246200624761429,-0.00101458453701773,0.233791021578191,-0.0607642815225627,0.101143491976833,0.0727377977709021,0.140586121031064,-0.295874389209096,-0.122031445480466,-0.105198949102608,-0.00573660258324645,-0.149938086351121,0.129504674186486,0.224343591163933,0.228809601663793,-0.0182360433703319,-0.031308526032963,-0.00520726852533478,-0.00971188317459781,-0.0839533985461438,-0.187501252690295,0.00631417794251521,-0.0294654052727695
