Protein	Gene	PROTEIN_ORIGINAL	x400x15-1	x400x15-2	x400x15-3	x400x5-1	x400x5-2	x400x5-3	x400xH15-1	x400xH15-2	x400xH15-3	x400xH5-1	x400xH5-2	x400xH5-3	x60kx15-1	x60kx15-2	x60kx15-3	x60kx5-1	x60kx5-2	x60kx5-3	x60kxH15-1	x60kxH15-2	x60kxH15-3	x60kxH5-1	x60kxH5-2	x60kxH5-3
Q9P253	VPS18	Q9P253	13.59007526	13.61153718	13.65828911	13.94400443	14.57101462	14.24499109	14.02668277	13.59213916	12.40535377	14.26657509	14.31711986	15.13187605	13.94652346	13.87013331	13.55990192	14.01977848	13.55424748	13.16002696	13.24165121	14.1952865	13.43234231	14.19872046	13.54481677	14.17925403
Q9P258	RCC2	Q9P258	16.28411707	16.22640014	16.37878981	15.90769385	16.27494754	16.10974763	16.04914022	16.27793104	16.13983364	15.85669365	16.20465368	16.34051494	16.21647193	16.30913476	16.21639334	16.36298336	16.15369523	16.18032513	15.94778337	16.10396604	16.16832151	16.07099071	15.92082705	16.17994897
Q9P260	RELCH	Q9P260	12.59168794	12.46706955	12.60083346	12.93879143	12.86171806	13.18150846	11.96508539	11.04488331	12.79804946	12.85480852	13.16874584	13.27196804	12.79685684	12.46315246	13.17946589	12.39790289	10.17260467	12.31824758	10.99400032	13.52304811	12.94686984	11.73463697	11.86064985	12.88256641
Q9P265	DIP2B	Q9P265	14.76313517	14.25085496	14.49018948	14.55326129	14.5365815	14.85481674	14.10327083	14.27151175	13.5054186	14.2261619	14.4929994	14.70723669	14.34471056	14.57956184	14.44965983	14.39821498	14.01377923	14.26353141	13.80889512	13.77569303	14.29524919	14.38252897	14.23237632	14.22570995
Q9P270	SLAIN2	Q9P270	15.00606292	15.03810785	14.77923635	14.63074831	15.5540363	15.31682965	15.23319432	15.08550826	14.48492568	15.27389641	14.41595463	15.10456715	15.23898921	14.8938089	14.90241154	15.6652425	14.84679735	14.5238892	12.94668346	15.14274083	14.45697793	14.88772846	15.12008366	15.26747164
Q9P287	BCCIP	Q9P287	16.19173452	16.12035848	16.23227314	16.32096813	16.29296612	16.69812352	16.42028656	16.33757297	16.18265726	16.35128823	16.35889838	16.21116226	16.42160731	16.36091076	16.4602953	16.2751613	16.11487361	16.2976824	16.07243841	16.65008222	16.30777606	16.27951865	16.24479135	16.35531524
Q9P289	STK26	Q9P289	16.32507513	16.14039488	16.52715652	16.1306816	16.71302667	16.58773604	16.85039811	16.45391691	16.3231954	16.34445916	16.43035889	15.7451879	16.65364198	16.56711469	16.05480768	16.64602312	16.33217423	16.39938627	16.37336688	16.30241014	16.53629082	16.81181478	16.50266946	16.49782367
Q9P289	STK26	Q9P289;O00506	14.68053041	14.62478275	15.36104568	15.33134546	15.22383861	15.78452151	15.55185953	15.77168875	14.47590147	15.86678799	15.8598194	15.47710799	15.67653569	15.28100664	NA	15.93504496	12.41892385	15.48871485	14.6945319	15.0758677	15.38684849	15.59296685	NA	16.08741822
Q9P289	STK26	Q9P289;Q9Y6E0	15.06565439	14.19519839	16.16950645	15.01892908	14.9291482	11.24021731	15.9740348	15.07948708	15.02418996	15.19915893	14.12479963	14.87086333	15.45930423	14.67525115	14.65309431	15.05313544	14.60301722	14.80479789	15.95033486	14.77668136	14.29554563	15.9985778	14.59486676	14.46684224
Q9P289	STK26	Q9P289;Q9Y6E0;O00506	16.87111221	16.73792301	16.66308773	16.83868488	17.56221554	17.43773764	17.46590234	17.29017515	17.13813368	17.74158016	17.40561653	18.08491319	17.17032265	17.38003882	17.11434368	17.28915606	17.22948176	17.33466476	17.34631499	17.96386819	17.42865043	17.4361659	16.86311458	17.37672412
Q9P2B2	PTGFRN	Q9P2B2	9.054030519	8.891065073	8.413147657	8.974564174	9.516090921	9.347844183	NA	8.757225183	NA	9.687329709	11.12104351	11.27223713	9.042817764	9.25460555	9.242117025	12.21414753	9.813909108	9.880917613	NA	11.77357964	NA	NA	NA	11.44962396
Q9P2B4	CTTNBP2NL	Q9P2B4	14.69174147	14.00714992	14.2974571	13.34886794	14.55059018	14.18880104	14.34137779	14.70390139	14.47805519	14.17110387	14.82626078	14.19529829	14.48790879	14.60241622	14.44577812	14.55123912	14.33381813	14.59297842	14.39936786	14.21671651	14.51125757	14.73539465	15.35397395	15.50221193
Q9P2B7	CFAP97	Q9P2B7	14.35713075	15.38283679	15.24609274	14.4439978	15.30250206	14.1284815	14.90218527	15.13232818	14.05762914	15.29868999	15.35894262	15.11382531	14.94980256	11.5408709	14.56508513	15.37769089	15.03682577	14.71825669	13.49856035	14.2395157	14.25213084	14.55998199	13.82570418	13.27727747
Q9P2C4	TMEM181	Q9P2C4	13.39972036	13.65191422	13.50047128	13.22846055	13.17415019	13.62092726	NA	13.18572997	14.00177566	14.125508	13.899917	14.27617	13.24774085	NA	NA	13.22858075	13.00546977	13.14558761	13.16009493	12.38327186	13.39264769	12.72221478	NA	13.54465562
Q9P2D0	IBTK	Q9P2D0	13.6130335	13.85724071	13.70335218	14.03690079	12.56865342	12.53233108	11.94905955	11.89248322	11.22187095	12.30986609	NA	12.61818944	14.48542713	14.11460666	12.00000467	12.28833676	11.82133213	14.0454188	10.483697	14.38443149	12.9025129	NA	11.82694446	13.9041202
Q9P2D3	HEATR5B	Q9P2D3	11.91874311	11.95612153	12.86688093	12.92380554	12.84445535	12.57393085	12.26692047	11.62528407	10.67445264	12.47214375	11.82751433	12.14345692	11.35594519	11.95898885	12.91869385	12.61430488	10.60689679	12.04241561	10.64516176	12.01914857	11.87821415	11.96902634	12.13646587	12.44096789
Q9P2E3	ZNFX1	Q9P2E3	13.74436838	14.12539196	12.84473147	13.57293739	13.66313366	NA	14.42722827	13.79014719	12.13452519	12.39292398	NA	NA	11.95234533	NA	12.38037862	14.05276938	12.57849272	12.39666037	13.69697306	NA	13.51308347	12.67573723	14.50360808	12.41331895
Q9P2E9	RRBP1	Q9P2E9	16.82928894	16.69707773	16.74950439	16.55878954	17.07558067	17.04568775	17.05482489	17.18352927	16.99539752	17.103991	17.24037672	17.32091344	16.95391143	17.06524954	16.90000899	17.11020309	16.97840707	17.04216436	16.85809647	17.03899562	16.86038394	17.28155479	17.07824186	17.1519301
Q9P2E9	RRBP1	Q9P2E9;Q8N4C6	16.26341546	15.90854131	16.08099106	15.62738366	16.31886316	16.13556677	17.37838872	16.96318299	16.86806424	16.9184091	16.37816845	17.10860997	16.20128793	16.28846473	16.42116989	16.3693288	16.95651335	16.47462794	17.12747256	17.07441221	16.19229448	17.55652054	16.86118639	16.3022831
Q9P2G1	ANKIB1	Q9P2G1	12.32444639	12.41727334	12.96361686	13.44975367	13.04415464	12.77002337	12.72550135	12.92632578	13.06187497	12.66121678	13.25854378	13.04783076	12.30615593	12.71125856	13.56910939	12.65453335	NA	12.72715631	12.54693277	12.78650711	13.38310023	13.10266897	12.82680039	12.9284926
Q9P2I0	CPSF2	Q9P2I0	13.69011949	13.82905429	14.02134414	14.7893027	14.12214275	14.05313494	13.98947911	13.83088044	13.49895586	13.97816353	14.28867233	14.41010299	14.18144061	14.14848749	14.24819987	14.18078095	13.32319369	13.7508679	13.83173589	14.30441896	14.10925615	13.65201759	14.19372071	13.93464117
Q9P2J5	LARS1	Q9P2J5	15.95721652	15.98862087	16.02296292	16.08008819	16.1369471	16.22971771	15.81836694	15.69339601	15.63623334	15.86548169	15.95635176	15.81274117	15.96832988	16.01233044	16.08329407	16.10203745	15.73412218	15.85031404	15.4320181	16.07532299	15.81022512	15.74860387	15.70032488	15.93755698
Q9P2K3	RCOR3	Q9P2K3	13.37030593	NA	13.64624483	13.5296848	12.47521202	12.36272414	11.50590815	13.53865307	NA	13.97152002	13.82174933	14.02112797	NA	11.9435324	12.72440151	13.69729471	NA	12.11595016	13.50627426	14.50082726	13.50510676	13.45228332	11.99148456	NA
Q9P2K5	MYEF2	Q9P2K5	11.90264221	11.88441036	11.75693845	12.963292	NA	13.8509359	12.00810757	12.40627694	12.11960391	12.38541131	14.15653349	14.75192526	13.46683849	11.86756469	12.13865225	12.11162474	12.07520735	11.7681323	12.10717567	13.89178185	13.77369873	12.7201202	13.30878497	14.00749127
Q9P2K6	KLHL42	Q9P2K6	15.11253723	15.64586571	15.04775757	14.80301019	15.01125949	15.11191764	15.08660876	15.33231079	15.22089989	15.41900144	15.19393071	15.41549604	15.13547298	15.43535198	15.35985842	15.28792598	15.07087092	15.29126878	14.73804674	15.4915463	15.46093599	15.2349293	14.88055687	15.27643205
