	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
Inosine	4878974	6679706	4896598	5900476	3025435	3507398	3461651	4679994	6057066	7370748	7749998	8430408	2362522	3933981	3300479	3707308	1941723	3655942	496419		497420	320730				308516	214260	322301		318747	721787		306706	0	0	0
myo-Inositol	11353357275	10706253689	11565848336	9434183038	10096490582	9798053457	8240522500	9186673998	7742283875	11141313048	9958735267	10223852059	8936128527	8569783134	9316539736	8333102298	7629274933	8203209572	4867854019	3675745169	3890306408	3805380746	3226618357	3356187103	3868940994	4241885495	3677067361	4701458363	4042848379	4343199763	3602232740	4077277387	4189398150	3870591030	4360425937	4125272094
Lactate	4677561928	4308267661	4830788023	3652371282	3601406981	3623690112	2557946099	2818356803	2463983358	5141081648	4346498593	4485039876	3422485783	3475625409	3580446706	2571853151	2635567531	2670009812	525900180	513758737	493362683	393315084	332158156	311609036	255716525	301471576	268805893	776682155	664007302	736899263	524137309	513883121	457554980	321389511	386316666	302804386
Leucine	17616558962	19107101158	17413460753	15781712750	14466024087	14218489489	12620044752	11947017348	12959145855	29279246543	31595658136	30050326388	20924506020	22234863518	19176530766	19117743660	18797272881	16875153000	67228654519	70285055411	65281782557	49465390450	51920312621	50861305421	37884160835	36604562778	39243653003	69228357725	77188175226	72375820988	57150729548	52432315375	55422030635	41866134068	39976619080	39731305499
L-Lysine	481563362	563100997	520695106	385295366	350254582	327500283	283016870	257424491	248548471	497951527	547856911	570768716	300252539	325847964	299570451	290323902	238101591	231554719	1943018404	1883501904	2011864408	1213825141	1171828870	1245681800	840356645	792694175	773147517	1667632093	1684818844	1569220186	958986331	924991773	929572053	691373845	653074865	639757751
Malate	555331291	515396944	581445809	528085885	588920118	573234733	594217528	651713136	583068746	541891419	462198215	485232130	570826828	508843915	610042760	558832586	547119854	574472189	244327390	241524970	238810243	323420415	308146999	301211886	373240734	439810051	394831147	271253122	254456650	294567560	366417968	375922819	397870709	439118818	517373831	488643870
L-Methionine	1897477130	1896634134	1931001318	1600538799	1518122943	1503842930	1267459546	1263541624	1235652642	1928347057	1918613253	1881256362	1384853184	1431228829	1381546655	1198674780	1155315640	1186452996	11843139456	11456365174	11046854776	9012394917	8577430563	8788929565	5939557788	6078213305	5998529373	10117686718	10077305617	10070982798	7529852985	7493820600	7755807444	4998407843	5264400275	5327208217
NADH	13245347	16673540	14685552	26584113	24929032	19405344	29055698	27370760	33215590	10958061	13106192	12966234	19933443	24053144	19823109	25127850	26657064	21092190	11640570	12906763	12479148	19109857	21733789	20087799	31027398	29107210	36645240	11119424	10923828	10474834	16311187	18508721	15017840	33092493	28914489	28197743
NADH	5000766	5247711	4938516	9022891	9343871	8454388	11625422	10909663	10314979	5294428	6028368	4327835	10744681	11509518	10025767	11235196	8457057	8801912	3378840	4507894	3357394	5852399	5651344	6444890	8713780	8439008	9032371	2832867	3275932	2200671	6511905	6304183	6621037	9754842	10020155	10791028
NADPH	1458017	1999400	1450409	2803001	1598636	2298192	3009698	3222705	5363020	1014691	1244447	1878259	2599940	2408157	3521001	2632123	1082489	2248298	2768620	1596611	2336541	2057800	1995501	2281175	1989957	4061666	3007443	1692038	1379245	2540510	2664390	2915474	3270508	3508343	3936292	3772539
NADPH	1320994	2337080	1695500	3583589	2912676	2491626	3437183	3552053	3006729	568634	858955	666378	2120925	2746060	1934318	2217245	1877080	2689965	612457	804279	1240557	1747769	1183252	1200813	1298669	1188133	1686751	830278	938309	713866	1502469	1744266	2050869	4000689	3510434	2485638
Niacinamide	6421680695	6247087850	6714498277	5610460272	6030765861	5538557732	4385505505	4684742772	4259565520	7208659648	6969694425	6515718879	5736990037	5644822201	6258367285	4366709841	4352565950	4606290440	21122783392	19880659012	19151092254	16458425956	15454291882	15432515395	11229018830	12442594649	11686231949	18577972930	17835107069	17854145602	13969510161	15073025043	14666710898	9800578506	10751449357	9948438290
Ornithine	206435663	246721835	224687574	167867372	150443741	142864846	119031021	111170881	100021815	209020874	238758228	235913569	130010547	140544063	130080148	126690881	96553298	100191535	25838598	30391932	34701625	17627064	17175216	19301788	14022446	13944665	12972021	32643416	38116134	27874060	19167935	17880697	17366416	11740385	12975594	12016152
Orotidine	52723260	56743544	55982097	93118807	81571945	76583577	98170052	91515513	96117028	28200320	30190838	30253262	73536801	84687222	77806325	89328244	84003831	70711312	2796088	2612292	2231944	2719486	2349160	2033221	2692644	3310236	3694893	2190108	2136745	1268345	2775087	4617322	2903504	4449291	4150253	3804877
Phosphocholine	161689049	156498892	151940186	203724439	206372180	212925487	235899655	235122836	242403012	144551187	133234136	141003786	218982943	206853353	199914172	225102379	219868628	233290595	90349567	88209964	88681358	108004839	96219138	97230408	133503580	147688666	137270806	93835952	93777747	99939557	113469512	114619559	125755753	158104555	162698949	191053311
Phosphocreatine	238000385	241296709	231185157	309719978	293104084	288161102	367122862	354830412	370950760	183644696	205827066	198086460	277865048	302430010	279234463	305779382	303851302	293273824	40926518	39035783	40745942	50822811	51815985	51007863	63684179	67102609	71235065	38503170	39232889	38783120	52680236	47643408	45296588	70856239	68970429	72029280
Phospho-EtA	2753865	3031843	3137888	1143665	1633737	1563736	615825	482509	422053	3408075	3272845	3545840	380911	629765	694618	381617	385506	448404	2860043	2622837	2450564	2451401	1638392	2408609	1464031	2241794	1532568	2405995	2217956	2190073	877987	1434466	1193501	1415220	1790502	1788579
Phosphoserine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55562			0	0	0	71200		74745	67965	64882	115185
Palmitic acid	2573611803	2008235545	2412009871	2150828277	2320216194	1960306534	1653161704	1607583351	1639827111	1639675805	1477811585	1404877529	1796570770	1765752851	1655111508	1440328730	1648400110	1855049776	2264908544	2224576010	2174143327	2362019443	2090623609	2542478341	1729980625	2088151736	2135363497	2195602129	2232336770	3473444430	2224899522	3460601123	2411702891	2771992101	2351517565	2013698821
Pantothenic acid	81949290	83189600	77451890	63864444	58668136	62373881	56595720	61773178	58958150	102119165	95417739	95632258	60604276	66395457	60126651	60130101	62025549	53075275	2082753915	1860524604	1994777632	1114759317	996310089	1048539442	708330949	700934833	679551777	1809633955	1689523362	1698791414	808619841	855110061	818998519	607678841	623168556	570355314
L-Phenylalanine	13757624957	14339181097	13393510818	10802654052	10005985901	9970188680	8266622440	7846185673	7897724669	14554306180	15010909345	14341804989	9568066417	9813379943	9247789703	8325103387	7731928462	7763478244	45699746955	45730019987	42490016921	31500242555	31605089937	31230655515	21969630177	21695588122	22645168932	37389657470	39754764551	38031148205	27010408603	26385886348	28243655381	19147309077	19432010691	19223082443
